# Indice plano de docs/qa/regresiones-manuales.yml - generado por scripts/contexto.py resumenes
# id | severidad | modulo | titulo   (el item completo se lee del yml SOLO si aplica)
REG-001    | blocker   | Variantes / Stock            | DbUpdateException al crear variante por RowVersion en MySQL
OLV-012    | minor     | Listados con filtros persist | Los filtros vuelven guardados del servidor pero la vista no los repone: se serializa el FILTRO TIPADO en vez del diccionario crudo, y las claves (rubroSlug vs Rubro) y los formatos (fecha UTC ISO en un campo dd/mm/aaaa) no coinciden con los ids de los controles
CRM-023    | major     | Armar presupuesto por frente | El selector multiple de Frentes no llega al servidor: $.get con un array manda 'frentes[]=2&frentes[]=3', que ASP.NET Core NO bindea desde el query string, y el checklist cae a Build en silencio
OLV-013    | minor     | Programaciones - detalle e h | Pantalla nueva pinta el enum crudo (EsperandoAprobacion) en vez del rotulo llano, teniendo el partial del design system ya hecho
OLV-014    | minor     | Motor de agentes - 'Ver paso | El rotulo llano de un paso fallido interpola el mensaje de error crudo de la herramienta, que esta escrito para el modelo y nombra herramientas y codigos internos
OLV-015    | major     | Cualquier flujo donde una pa | Dos guardas mutuamente excluyentes sobre el mismo flujo: el boton solo se muestra cuando la condicion es X y la accion de destino solo acepta NO-X, asi que el boton siempre da 404
OLV-016    | major     | Cualquier aviso 'blando' que | El aviso posterior al guardado se calcula solo en la rama de validacion fallida, asi que en el camino normal (guardado exitoso con redirect) no aparece nunca
OLV-017    | major     | Vistas Razor que imprimen un | Razor lee 'letra-arroba-Expresion' como una direccion de email y la imprime literal: en pantalla se ve el codigo fuente
OLV-018    | minor     | Vistas que usan una clase ut | La clase utilitaria no existe en el CSS que sirve el proyecto (fw-semibold) y el estado queda sin distinguir, sin ningun error
OLV-019    | minor     | Cualquier valor de enum que  | La baja del valor se implementa solo en el combo de la vista: un POST armado a mano lo sigue creando
OLV-020    | major     | Informes y dashboards de sta | El GROUP BY agrupa por NOMBRE (de agente, de cliente) sin el TenantId, asi que dos organizaciones distintas pueden caer en la misma fila y la pantalla no tiene columna para notarlo
OLV-021    | major     | Portales con dos publicos en | El rol nuevo queda afuera de EsMiembro y las pantallas compartidas (AccessDenied, Error, 404) le dibujan el menu del OTRO publico: la frontera tapa los datos pero no el menu
OLV-022    | major     | Policy por defecto fail-clos | Al meter el requisito 'no es <rol nuevo>' en la DefaultPolicy, todo [Authorize] a secas se cierra - incluidos cambiar la propia contrasena y el toggle de tema, que el menu del portal nuevo SI ofrece
OLV-023    | critical  | Tipo de tarea nuevo + herram | El resolvedor ofrece la herramienta al tipo de tarea nuevo pero el ejecutor sigue exigiendo el tipo VIEJO: la herramienta aparece en la solicitud al modelo y falla en el 100% de las llamadas
OLV-024    | major     | Aplicar la propuesta de un a | El boton 'aplicar' es un <a> a una accion GET que crea la entidad y marca la propuesta como aplicada: escritura por GET, sin antiforgery
OLV-025    | minor     | Rotulos por enum en pantalla | Un switch de enum a texto con rama default 'util' le pone a cada valor nuevo el texto de OTRO valor: la pantalla afirma con confianza algo que no es cierto, y no falla nada
OLV-026    | minor     | Motivo/detalle que se concat | El mismo motivo se muestra con la inicial en minuscula en una pantalla y en mayuscula en otra: las dos ramas de una MISMA frase no se leen igual
OLV-027    | minor     | Tope de tiempo con Cancellat | Un tope de cero segundos implementado con CancelAfter(TimeSpan.Zero) es una carrera, no un tope: con el pool saturado el trabajo se hace igual 298 de 300 veces
KOI-015    | critical  | Consultas EF / proyeccion a  | Un .Where() aplicado DESPUES de una proyeccion a record no lo traduce EF Core: la consulta compila, pasa el build y revienta en runtime con 500
KOI-016    | major     | Gestion de usuarios / guarda | 
KOI-016    | high      | Confidencialidad por rol / d | Ocultar una cifra sensible en una pantalla no sirve si el complemento aritmetico sigue visible en otra del mismo menu: el secreto se recupera con una resta
MH-022     | major     | Proyeccion financiera (M17)  | Una proyeccion que estima por promedio SOLO el egreso y del lado del ingreso pone unicamente los compromisos con fecha da deficit garantizado y falso: anunciaba caja negativa en 2 meses y -$31M en 6, sobre un negocio que venia cerrando +$7M por mes
MH-023     | minor     | Analisis de inventario (CR-8 | El denominador del Pareto ABC incluye las ventas de productos dados de baja, que no tienen fila en la tabla: A+B+C sumaba $592.023,96 menos que el total de la ventana y el corte del 80% quedaba corrido
MH-024     | minor     | Analisis de inventario (CR-8 | La columna 'Ultima venta' mostraba la fecha en que se ANULO una venta como si fuera la ultima vez que el producto se vendio
MH-025     | minor     | Rentabilidad con costo histo | El costo historico de una venta dependia del orden en que la base devolviera las filas cuando un producto tiene dos recepciones de la MISMA fecha con precios distintos
MH-026     | major     | Rentabilidad con costo histo | Dar de baja un producto borra sus ventas pasadas del margen: la card 'Margen real del periodo' calcula sobre hasta 3,3% menos ventas que la card 'Ventas del periodo' que tiene al lado
